,username,following,followers,retweetcount,text,date
23,QuantumFeg,680,429,0,@bitcoinlfgo @FEGtoken Feg Revolutionary Technology Changing Crypto Chapter 💻👽💻 @fegqueen4life #fegqueen4life #FEG #FEGtag #FegArmy #FEGTOKEN #SmartDefi #AMC #WAGMI #FEGirls #Ethereum #cryptocurrency #FEGtoken #FEGex #BUYFEG #Grafene #crypto #IBuySDtokensONLY #BNB $FEG #defikingdoms #BSCGems https://t.co/JucsC2XUVs,2021-12-01 11:55:09+00:00
24,goldenstate11,4984,1153,35,"It's time for another GIVEAWAY. 🔥🚀👍😀

Dreams_NFT 1:1 'Ancient Temple' could be yours. 
Like. Retweet. Eth Add. Tag frens.

#NFTGiveaway #NFTCommunity #nftcollector #NFTGiveaways #Bitcoin #Ethereum https://t.co/TowwpKVTuA",2011-06-21 09:55:40+00:00
25,Ethereum_Hourly,0,202,0,"Current #Ethereum Price: $2,742.27 📉",2021-01-12 15:29:15+00:00
26,xuehuainan888,150,6,55,"Check This Out🔥
https://t.co/EwVzpxLkVz

Like, Retweet &amp; Leave a Comment About Our NFTs🐒

#NFTs #NFTCommunity #Ethereum #NFTeth 🚀 https://t.co/wYfZu958mN",2022-02-06 05:40:04+00:00
27,RixxTech,51,395,0,4 hour top movers report #blockchain #crypto #cryptocurrency #kripto #kriptopara #trading #rixx #binance #bnb #bitcoin #btc #ethereum #eth https://t.co/vDbtkcQsrj,2018-05-19 15:03:18+00:00
28,ibrryjzmn,594,24,877,"🦉 @okayowls NFT Giveaway 🦉

Giving away 2x NFTs for @okayowls 
 
To enter: 
- Follow @0xRuz &amp; @okayowls 
- Like &amp; RT
- Tag 3 friends  

Winners picked in 24 hours 

#NFT #NFTCommunity #NFTGiveaway #NFTPromoter #ETH #NFTPromo #Ethereum #AD https://t.co/latUmZ73Ox",2022-04-16 06:26:57+00:00
29,Mk13Of,2484,462,0,Ethereum Transaction Hash (Txhash) Details #Ethereum via https://t.co/yvcbJx4uwh https://t.co/3qMD4SACAj,2021-03-22 01:57:22+00:00
30,cryptomanwow,1301,777,0,"I will do impressive shoutout to organic audiences to boost youtube channel

#crypto #bitcoin #ethereum #ico #mining #bnb #newcryptocurrency #coin https://t.co/D1BJDssKgD",2018-10-01 07:15:36+00:00
31,luckyjunhui10,4967,193,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2021-06-10 08:04:19+00:00
32,WynonaRyleigh,4992,618,11400,"Explore Phemex Universe🌍 and visit planet Bitcoin, Ethereum, Sand, and Doge 🤩 to collect your very own Citizen Phemex card.🎴 

Grab your card and earn bonuses now🔽 
https://t.co/6ZQKNyGxBz

#PhemexUniverse #Blockchain #Giveaway #PhemexCitizen #NFTs #Games #EarnBonus #phemex https://t.co/WiHx0Ecaw7",2022-02-07 19:46:33+00:00
33,RogerJUlrichJr,5001,2321,1,"I'm going to assume this dump is attributed to investors de-risking digital assets in light of coming interest rate hikes, inflation, and GDP dips. 

#crypto #cryptocrash #btc #bitcoin #eth #ethereum #altcoin #altcoins",2021-02-03 04:08:19+00:00
34,Dark_Helix85,193,35,4,$HODO TEN MINS LEFT TO WIN 20% of marketing wallet if you max buy this will be huge! #bitcoinbella @BITCOINTRAPPER @EricCryptoman #100xgem #Alt #Ethereum #cryptocurrency #CULTARMY #shiba #SHIBARMY #Alt #Trending #Forbes HUGE DEV BEHIND THIS PROJECT be surprised when you see who! https://t.co/3LQGh23vpA,2012-12-14 09:18:15+00:00
35,ETHGasPriceBot,0,1202,0,Slow 20.1 | Normal 25 | Fast 65.6 | Instant 84.2 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH,2021-01-04 09:25:56+00:00
36,maro09855621,2449,42,1415,"🎁 GIVEAWAY 🎁

🏆 30$ in $SOL / $ETH
🏆 1x #NFT

Must :
- Follow @OGCatsNFT &amp; @TikiTuka_ 
- LIKE &amp; RT
- Tag 3 Friends

Ending in 24h

#NFTGiveaway #NFTCommunity #Giveaway #Ethereum #ad https://t.co/XDyWaXL7ri",2022-03-06 17:15:35+00:00
37,Claire15139712,202,50,16,"FUN FACT: These Nike #NFT sneakers sold for 45 #Ethereum ($125,000 USD).

#APECOIN https://t.co/X84u0DsN1D",2021-02-23 10:43:13+00:00
38,CryptoAlexUSA,1858,2436,2,@AltcoinDailyio If it does I would lose a lot of #dirtyfiat but gain a bunch of #BTC #Ethereum and #ETC .... 5 years later GAME OVER. #HODL s win. #ETCARMY,2009-12-16 20:01:10+00:00
39,RoelMartin89,727,140,76,"🦸‍♂️ @Chain_Guardians ChainGuardians is a free-to-play turn-based superhero strategy game powered by the Ethereum Blockchain. 

🎆 All in-game assets like armors, weapons, and characters are #NFTs and tradable in the marketplace. 

🔽 INFO 
https://t.co/9YwQYycurs
 
#P2ESpace #P2E https://t.co/gF0dNzJSIb",2016-11-08 16:03:56+00:00
40,Juniorguanatos,188,59,284,"FUN FACT: These Nike NFT sneakers sold for 45 #Ethereum ($125,000 USD). https://t.co/leTW5Mxd7M",2021-02-28 21:47:59+00:00
41,FeedGoat2000,5,12,0,"Feedgoat2000 found #ethereum in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/YAK9cbuARz #cryptocurrency #30636 https://t.co/zvnypAxODM",2022-04-04 22:29:46+00:00
42,qwerdyyy06,1305,132,2047,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

5 WL Spots are up for grab. 

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/x5tJLMTaAZ",2022-02-24 04:04:49+00:00
43,EigenPhi_Alert,50,1142,0,"#MEV 🤖️ made $1,079.541533 through a spatial #arbitrage , using ( $UNI , $WETH ): https://t.co/XLipDFkxwG",2021-03-25 07:10:50+00:00
44,Aivangrooso,3813,437,0,"@Odin_Financial @walktitan_nft Thanks for the opportunity 🙏🏻🔥🍀

 ✅ @CinthyaGz5
 ✅ @SergioKing_2
 ✅ @MilagroMontes6

All completed❤🎉🤑🎊 
↪Great event, hoping to win🏅

 #Move2Earn 

#giveaway $ETH #Ethereum #binance #titano #stepn https://t.co/CgLTYsGSAk",2014-04-26 16:47:28+00:00
45,metacaffeine,1573,959,0,"#solana is down

Anyone without exposure to #BAYC on #Ethereum is coping hard

Meanwhile on #tezos we like the arrrt! https://t.co/789L31sF2t",2021-04-22 04:50:26+00:00
46,luckyyjoannaaa_,4896,151,2047,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

5 WL Spots are up for grab. 

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/x5tJLMTaAZ",2021-03-15 08:59:16+00:00
47,MSaffi95,896,596,6,"Explore the account and do some shopping of natural and historical images. And the creative designs and Paintings.
https://t.co/KYIcbVpXKD
#NFTCommunity #NFTGiveaway #NFTdrop #nftcollector #NFTartist #photographylovers #art #PaintWithLove #ETH #Ethereum #openseamarketplace",2022-02-12 11:08:02+00:00
48,thvkim98,1047,138,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2022-04-18 01:09:31+00:00
49,LuckyLeap1,151,52,4,"Dooggie Moon Crew ready for takeoff @elonmusk 

@DooggiesNFT 

#Dooggies #doge #elonmusk #elon #tesla #SpaceX #eth #ethereum #shib #dogecoin #space #nft #nfts #nftproject #NFTCommunity #nftart #meme #memes #rocket #bayc https://t.co/SUF0gzvzRM",2022-03-14 05:45:04+00:00
50,cryptobatman331,193,474,0,"$FTM she don’t you have a heart why you didn’t cry on my father funeral..
Le me : watching all alts blood bath without tears 💔💔
Ftm will be super bullish if BTC able to reach 50K
#FTMUSDT #BTc  #Ethereum #Cryptos https://t.co/MoIO11iMOG",2022-01-02 23:40:39+00:00
51,kachimanart_,4902,6143,6,"Explore the world from home! 😁🔥
Take a look to my collection with the most beautiful places in the world. 👀

""Machu Picchu"" 

0.007 $ETH (on #Ethereum chain)

https://t.co/ZxOaqxs7eW https://t.co/zOQal2blK0",2022-02-20 17:48:50+00:00
52,metaglyps,1542,371,26,"A lot of scared money asking me about if I've sold or changed my targets for $MATIC. 

No, I have not. 

Here is my condensed thesis on why I think $MATIC Polygon will dominate Layer 2 and scale Ethereum. 
Not financial advice. https://t.co/9t8hAzPCk0",2010-07-04 06:54:48+00:00
53,ExplainThisBot,1,14569,0,"@jav555888 
This means that the person is looking at some sort of data or information that is available on the ""onchain"" (likely meaning the Ethereum blockchain), and that this...",2022-04-12 09:32:48+00:00
54,allya_bigwin,4922,227,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2021-06-15 22:07:06+00:00
55,juniorDc94,613,125,1415,"🎁 GIVEAWAY 🎁

🏆 30$ in $SOL / $ETH
🏆 1x #NFT

Must :
- Follow @OGCatsNFT &amp; @TikiTuka_ 
- LIKE &amp; RT
- Tag 3 Friends

Ending in 24h

#NFTGiveaway #NFTCommunity #Giveaway #Ethereum #ad https://t.co/XDyWaXL7ri",2022-04-25 19:14:59+00:00
56,megacrypto77,143,484,19,"It's May 1st in Australia and @LuckyRooToken looking like its ready to give birth!!

#LuckyRooToken #LuckyRoo #RooTroop #Saitamask #Saitama #Wolfpack #100XGEM #BSCgems #BSCgem #luckyroodraw #Giveaways #ETH #Ethereum #BNB #BNBchain https://t.co/7xgSoovTrL",2021-10-26 20:37:26+00:00
57,Jcripps08,804,323,19,Ethereum users really starting to feel at home over here on Solana https://t.co/wdaoeNipWY,2011-05-05 20:23:00+00:00
58,maxcao2204,1520,569,0,"Check out this item on OpenSea https://t.co/THPEBAULHy via @opensea 
#nft #NFTs #NFTCommunity #NFTartist #NFTProject #NFTdrop #OpenSeaNFT #OpenSeaCommunity #Ethereum #ETH #collectibles  #CollectorsHelpingCollectors #random #landscape  #forest #daklak #vietnam #tree #dryseason",2021-03-15 09:28:14+00:00
59,bigwinc1tyx_,2009,39,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2021-06-11 00:58:57+00:00
60,dhanrave1,728,319,76,"🦸‍♂️ @Chain_Guardians ChainGuardians is a free-to-play turn-based superhero strategy game powered by the Ethereum Blockchain. 

🎆 All in-game assets like armors, weapons, and characters are #NFTs and tradable in the marketplace. 

🔽 INFO 
https://t.co/9YwQYycurs
 
#P2ESpace #P2E https://t.co/gF0dNzJSIb",2022-02-28 23:33:00+00:00
61,FARREL1408,95,69,37,Jim Cramer said he was expecting a 40% pump from Ethereum and you still decided to remain bullish?,2012-10-10 13:48:41+00:00
62,xatoshi_st,169,1753,37,Jim Cramer said he was expecting a 40% pump from Ethereum and you still decided to remain bullish?,2019-09-27 16:56:31+00:00
63,HootyFi,4,350,5,"$HOOTY (🪹, 🦉)

.. yes, the APR is accurate, and 100% paid in $ETH 🦇🔊

No emissions, no inflation, no deposit fees, no withdrawal fees, and no lockups. 

Maybe $OHM and $TIME should take some notes.. 👀

#Ethereum #Moonbird https://t.co/g1LtYxpsVB",2022-04-21 01:54:29+00:00
64,cryptokrider,4977,4187,170,"Did you know that you can swap tokens directly within MetaMask? 🦊

It's simple, and it's enabled on:

❤️ @Ethereum
💜 @0xPolygon
🔶 @BNBCHAIN
🔺 @avalancheavax

📖 Follow our guide to get started: https://t.co/vRsD6yWLtR",2018-12-18 11:21:43+00:00
65,SimpleC9000,58,7,0,"SimpleC found #ethereum in a Blue vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/81DDy0uhQT #cryptocurrency #108100 https://t.co/aMh46aNuEZ",2014-11-08 04:12:37+00:00
66,AbdelwahabSaidi,8,3,0,create twitter tasks and pay with #bitcoin #ethereum #litecoin #nft #airdrop with @jobboycom .'d..f...d.,2021-02-15 16:16:05+00:00
67,knnacr1,4489,259,1415,"🎁 GIVEAWAY 🎁

🏆 30$ in $SOL / $ETH
🏆 1x #NFT

Must :
- Follow @OGCatsNFT &amp; @TikiTuka_ 
- LIKE &amp; RT
- Tag 3 Friends

Ending in 24h

#NFTGiveaway #NFTCommunity #Giveaway #Ethereum #ad https://t.co/XDyWaXL7ri",2021-08-30 17:03:36+00:00
68,noolinfo,87,521,3,"Crypto and blockchain are genuine technological advancements and will definitely disrupt the current financial structure by disintermediating many of the holy cows of the system. 
@NoolToken @Shibtoken @BabyDogeCoin @ethereum @BTCTN @binance https://t.co/mVSEmrMCIm",2022-03-27 21:57:16+00:00
69,ridwanferguso,2797,584,1,"#ferguso $fergh #nftartist #nftart #nftfamily #nftproject #btc #ETHEREUM
https://t.co/aGo2fnJ284",2018-11-23 18:53:23+00:00
70,Hasham_amjad2,141,27,0,"This sort of price action from #Bitcoin really is not interesting to many of investors. 

#Cryptos #Ethereum #cryptotrading",2022-02-05 17:29:32+00:00
71,SlurpinSloths,1,196,2,"🦥🦥join the community now🦥🦥
https://t.co/wLtnxvtWFw
#Ethereum #NFTs #Discord #EthereumNFTs #OpenSeaNFT",2022-01-06 01:19:05+00:00
72,Kardenal95,108,147,1,Check out this item on OpenSea https://t.co/KjtSkigT6e via @opensea #OpenSeaNFT #art #NFTdrop #BNB #Ethereum #ETH #NFTs #NFT #NFTCommunity #NFTGiveaways,2022-04-04 04:23:17+00:00
73,eunjncityx,4770,104,133,"Delighted to announce our partnership with Raise Finance ,a decentralized platform built on #Ethereum Layer 2 #zkSync providing a gas-free #DEX aggregator &amp; cross-chain bridge with low transaction costs 🤝

We will assist @raise_fi in building exposure to accelerate their growth https://t.co/etNF6fMGfd",2021-12-09 12:49:44+00:00
74,SlurpinSloths,1,196,2,"🦥🦥join the community now🦥🦥
https://t.co/wLtnxvtWFw
#Ethereum #NFTs #Discord #EthereumNFTs #OpenSeaNFT",2022-01-06 01:19:05+00:00
75,MetapixelsNFT,28,6,1,"Today we will be showing which drawing of our collection belongs and they have different statistics that are rare 
#blockchain #OpenSeaNFT #NFTs #NFTCommunity #Ethereum #Metaverso #NFTCommumity #art #digitalart",2022-03-29 04:18:35+00:00
76,DelCrxpto,314,77995,10,"Got my @ETHFanToken raffle NFT! 
#Ethereum #eth #eft #ETHFANTOKENECOSYSTEM https://t.co/CbljauDeOA",2021-05-01 16:49:02+00:00
77,lodomain,35,23,1,Look what I found! 3462 collectible https://t.co/z1OQLLrLnx #rarible #ethereum #nonfungible #digitalasset #nft via @rarible #nfts #NFTART #art,2022-04-13 23:21:58+00:00
78,QuantumFeg,680,429,284,"It's nice to see a name in front of the #fBNB contract!

@FEGtoken
#FEG #FEGtoken $FEG
#Crypto #BTC #ETH #SHIB #BabyDogeCoin· #SAFEMOON #DOGE #XRP #altcoin #Ethereum #Bitcoin #Cryptocurrency #NFTGiveaway #NFTs #NFT #100xgem #BSC #SOL #ADA #DeFi #NFTCommunity @news_of_bsc https://t.co/Y4J7QiGuic",2021-12-01 11:55:09+00:00
79,ridwanferguso,2797,584,1,"#ferguso $fergh #nftartist #nftart #nftfamily #nftproject #btc #ETHEREUM

https://t.co/2TAFwHCWCd",2018-11-23 18:53:23+00:00
80,navyboy76,139,72,13,"Just #PiNetwork. Did you miss out on Bitcoin &amp; Ethereum mining? Pi Network is a great opportunity for you. Mine Pi coin with your smart Phone 📲by clicking on the App every 24hrs. #DOT #ETH  #BNB      #BTC      #Pi #Web3
Join link https://t.co/9PpEE4INTn
👇
Invite code:linda01 https://t.co/a4kbRJ8rid",2015-04-02 18:28:25+00:00
81,sweetcatNFT,1815,830,17,"New NFT! 😻💕👑

#nft #nftart #nftcommunity #nftcollector #nftmarketplace  #opensea #nftcollectibles #nfts #nftcommunity #nftartist #BTC #Bitcoin #nftartwork #NFTs #NFT #blockchain #Metaverses #raribleNFT #FreeNFT #ethereum #polygon #eth #nftmint #nftcollection #cryptocurrency https://t.co/RfZs0VvcKb",2022-03-21 18:02:35+00:00
82,SwagableArt,134,115,2,Check out my NFT listing on OpenSea! https://t.co/8E41Fjgw67  #NFT #NFTs #nftart #NFTartists #NFTartworks #NFTCommunity #nftcollectors  #NFTCollection #ETH #Ethereum #PolygonNFT #OpenSeaNFT via @opensea,2021-12-02 18:42:03+00:00
83,Capitalistchad,30,111,4,$HODO TEN MINS LEFT TO WIN 20% of marketing wallet if you max buy this will be huge! #bitcoinbella @BITCOINTRAPPER @EricCryptoman #100xgem #Alt #Ethereum #cryptocurrency #CULTARMY #shiba #SHIBARMY #Alt #Trending #Forbes HUGE DEV BEHIND THIS PROJECT be surprised when you see who! https://t.co/3LQGh23vpA,2022-04-08 17:56:40+00:00
84,GoochCoin,730,704,1,🚨EVERYTHING IS ON SALE!!!🚨 #Crypto #cryptocurrencies #DogelonMars #BTC #Ethereum,2021-12-10 02:53:27+00:00
85,CrypSight,0,161,0,"Surely everyone can now see how Bitcoin is ""controlled"" by the stock market and how Bitcoin ""controls"" #cryptocurrency  ⁉️

🖖🙄

#Decentralization  $BTC 🤮 #Crypto #Ethereum $ETH  $VET $ONE $XEC $XRP $ADA $XLM $SHIB #APECOIN  #SafeHaven #Cryptocurrencies #Binance #Coinbase  #BTC",2015-08-27 23:51:26+00:00
86,ridwanferguso,2797,584,1,"#ferguso $fergh #nftartist #nftart #nftfamily #nftproject #btc #ETHEREUM
https://t.co/YGb2IR2TBl",2018-11-23 18:53:23+00:00
87,rmahdx,287,264,1,"I'm going to assume this dump is attributed to investors de-risking digital assets in light of coming interest rate hikes, inflation, and GDP dips. 

#crypto #cryptocrash #btc #bitcoin #eth #ethereum #altcoin #altcoins",2015-04-20 17:45:38+00:00
88,eppersimuoveNFT,196,29,1,"🥁Giveway🥁 
To participate you must: 
🏅Follow@
 🏅RT this post
 🏅Tag 3 friends
 🏅Join us : https://t.co/vUE7JSjSWX
#nfts #nft #nftart #nftcommunity #nftcollector #nftartist #crypto #digitalart #cryptoart #art #ethereum #opensea #nftcollectors #blockchain #nftdrop https://t.co/VRi6SzqgsX",2022-03-31 15:59:57+00:00
89,MimirToken,2133,22222,1,"How to BRIDGE $MIMIR tokens to #ethereum, #polygon or #BSC? EASY! 💪

Here is our latest Step-By-Step article on HOW TO! 👇👇https://t.co/6EpYQ6Ua1s

#Eth #ERC20 #MATIC #BSCNews #BSCGems #GameFi #blockchaingames https://t.co/OJ8z7f4eOP",2009-03-07 11:54:51+00:00
90,ETHGasPriceBot,0,1202,0,Slow 20 | Normal 21 | Fast 58 | Instant 82.5 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH,2021-01-04 09:25:56+00:00
91,NFT_Hulk,754,512,2,"Daily drop from @ExpreshuN_ on @opensea

Is this a dream?

 https://t.co/ZcDgIyAPNN 

Link in bio

#ExpreshuN #ArtisTHEutility #nfts #photography #nftart #nftphotography #ilovenfts #ethereum #opensea #OpenseaNFT #ethereumnfts #Opensea",2021-04-12 13:00:00+00:00
92,thecolor6lack,53,78,0,"Zombie Gay Arabia part of my collection titled “GAY ARABIA” 🌈

#NFTCommunity #BAYC #NFTs #Ethereum #opensea #Crypto #Metaverse 

https://t.co/bgpJ6LT97j",2021-09-06 11:07:33+00:00
93,DrBagz888,676,210,182,"#XRPHolders  we know whats up. 
The harvest is going to be legendary! 
🦊

#ripple #xrp #bitcoin #Ethereum #XRPArmy https://t.co/fDsawAavBE",2021-11-12 06:12:16+00:00
