,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,username,following,followers,retweetcount,text,date,show,sentiments,profile_score
41,41,41,41,zeynozeynaaaa,77,54,4142,money-mouth_face $400 coin battle part 2 more chances to win vs 200 winners check_box_with_check 1 follow and to increase your chances check_box_with_check 2 rt with + tag 3 friends check_box_with_check 3 fill in form backhand_index_pointing_down backhand_index_pointing_down,2021-02-08 17:49:51+00:00,0,0.65,0.54
42,42,42,42,BitcoinMiningWA,48,22,0,btc is going to kill alt utility within 2 years litecoin worthless dogecoin worthless xlm questionable and so on,2022-04-28 01:03:40+00:00,1,-0.7000000000000001,0.22
43,43,43,43,DogecoinOrigin,3,99,1,q what is the purpose of a the purpose of elon is to bring freedom to humanity crown of crypto,2021-06-06 18:08:05+00:00,0,0.0,0.99
44,44,44,44,thigpen_y,5003,3638,10,tipping and twitter,2018-08-24 17:42:11+00:00,0,0.0,36.38
45,45,45,45,DogecoinOrigin,3,99,1,q what is the purpose of a the purpose of elon is to bring freedom to humanity crown of crypto,2021-06-06 18:08:05+00:00,0,0.0,0.99
46,46,46,46,thigpen_y,5003,3638,4,paper hands to fail,2018-08-24 17:42:11+00:00,0,-0.5,36.38
47,47,47,47,tealeeohotmail,522,26,0,_inu _au cute,2010-05-26 16:31:19+00:00,0,0.5,0.26
48,48,48,48,peopleofreality,1432,115,0,buy buy now is pumping right now,2017-12-19 00:59:28+00:00,0,0.2857142857142857,1.15
49,49,49,49,thigpen_y,5003,3638,9,some pressure coming off the market slow climbing back to the 13 still a short market and likely to get hit again,2018-08-24 17:42:11+00:00,0,-0.07500000000000001,36.38
50,50,50,50,snipersquaddev,106,84,0,keep laughing at memes _bitlord7 _bitlord7 $100 in dogecoin on launch (coin swap or something cannot remember) is now worth multi millions you spend more per week on food so realistically there is no excuse to not participate,2022-01-11 21:37:57+00:00,1,0.275,0.84
51,51,51,51,Amaduniya,1274,91,0,my money melted completely this is absolutely shit we tell the world who are scammers,2017-09-06 16:57:35+00:00,0,-0.05,0.91
52,52,52,52,bmurphypointman,18419,79697,0,being social pays earn revenue share with webtalk,2012-06-25 04:38:20+00:00,0,0.03333333333333333,796.97
53,53,53,53,jonatah1288,31,42,133,do you agree with this price prediction me that is my stuff star-struck star-struck as always follow for the latest updates fire,2022-01-16 13:35:30+00:00,1,0.5,0.42
54,54,54,54,tealeeohotmail,522,26,0,_inu _au cute two_hearts,2010-05-26 16:31:19+00:00,0,0.5,0.26
55,55,55,55,tundemason,376,1525,0,it is been boring ever since the dogecoin rubbish i just worry that other people keep taking him so seriously,2015-02-19 22:04:09+00:00,0,-0.4861111111111111,15.25
56,56,56,56,ashlexeebackup,4255,2383,273,thanks bringing new future for people,2022-01-21 14:37:20+00:00,1,0.11212121212121212,23.83
57,57,57,57,MariaCr26044995,280,37,694,which token you want to no 1 worldwide on bitcoinlfg app and website,2019-03-19 10:32:29+00:00,0,0.0,0.37
58,58,58,58,thigpen_y,5003,3638,18,it is not much but it is honest work $doge,2018-08-24 17:42:11+00:00,0,0.25,36.38
59,59,59,59,_mahnders,642,182,76,smiling_face_with_heart-eyes snickers dogecoin acceptance coming smiling_face_with_heart-eyes,2021-12-20 15:59:00+00:00,0,0.0,1.82
60,60,60,60,_mahnders,642,182,164,if the us government wants to get out of debt then they should just invest in,2021-12-20 15:59:00+00:00,0,0.2,1.82
61,61,61,61,blindheart_x,902,568,9,some pressure coming off the market slow climbing back to the 13 still a short market and likely to get hit again,2020-11-16 22:33:35+00:00,0,-0.07500000000000001,5.68
62,62,62,62,KurtLauman,258,715,16,elon musk is a very smart guy so he must understand the relationship between and litecoin and dogecoin are stronger together when buy,2020-07-12 00:09:01+00:00,0,0.2785714285714286,7.15
63,63,63,63,kiki_martinez87,1997,724,9,some pressure coming off the market slow climbing back to the 13 still a short market and likely to get hit again,2011-08-09 04:07:20+00:00,0,-0.07500000000000001,7.24
64,64,64,64,Michael44188917,134,448,199,i'm thirsty drooling_face,2021-07-19 08:12:37+00:00,0,0.0,4.48
65,65,65,65,LetsUniteCrypto,4071,1700,154,keep laughing at memes $100 in dogecoin on launch (coin swap or something cannot remember) is now worth multi millions you spend more per week on food so realistically there is no excuse to not participate,2010-10-29 15:48:35+00:00,0,0.275,17.0
66,66,66,66,thigpen_y,5003,3638,43,blossom blossom dog four_leaf_clover blossom blossom sunflower $doge,2018-08-24 17:42:11+00:00,0,0.0,36.38
67,67,67,67,ryemxx,2636,92,283,today is an excellent day to invest or not eyes fire shill me the next 100x gem gem_stone down_arrow,2022-03-06 00:22:17+00:00,1,0.5,0.92
68,68,68,68,realDogecoinOG,541,8562,9,some pressure coming off the market slow climbing back to the 13 still a short market and likely to get hit again,2021-02-16 19:33:21+00:00,0,-0.07500000000000001,85.62
69,69,69,69,AbnerCarmen1,54,15,1,sure thing … that & dogecoin face_with_tears_of_joy the security measures on the internet in cryptocurrency none & bot spam is now ‘s problem recall of twitter bc tesla tweets while driving fyi humans need gravity to be healthy perhaps read a book nope twitter,2022-03-25 23:14:27+00:00,1,0.5,0.15
70,70,70,70,BwcDeals,19,34974,0,46% off kn95 face mask 50 pcs,2019-09-30 23:18:35+00:00,0,0.0,349.74
71,71,71,71,NordinPumbaya,1008,258,4,the universe,2021-04-26 08:48:38+00:00,0,0.0,2.58
72,72,72,72,atelelelebigwin,3342,368,143,star-struck war of tribes official game launch via,2022-01-05 03:15:27+00:00,1,-0.4,3.68
73,73,73,73,G0LDM00N99,7,2,0,all in dogecoin but on the lever so wake up and to the moon,2021-07-27 19:47:48+00:00,0,0.0,0.02
74,74,74,74,InsIde29480,6,1,0,buy bnb and surrely dogecoin to follow a not very famous guy named elon,2022-04-21 08:37:15+00:00,1,-0.1923076923076923,0.01
75,75,75,75,vick073158,183,83,154,keep laughing at memes $100 in dogecoin on launch (coin swap or something cannot remember) is now worth multi millions you spend more per week on food so realistically there is no excuse to not participate,2011-03-24 04:08:17+00:00,0,0.275,0.83
76,76,76,76,SoCalGTRs,64,13,0,one hunter wick needed to destroy the shorts,2022-03-23 21:25:33+00:00,1,-0.2,0.13
77,77,77,77,NormieStuff,468,199,36,sparkles sparkles $doge sparkles °•♡ dog ♡•°,2013-02-11 16:49:15+00:00,0,0.0,1.99
78,78,78,78,bmurphypointman,18419,79697,0,mrs fields cookies shop &,2012-06-25 04:38:20+00:00,0,0.0,796.97
79,79,79,79,LateeffAbdul,4992,148,143,star-struck war of tribes official game launch via,2022-03-20 14:55:40+00:00,1,-0.4,1.48
80,80,80,80,bigwinmoro,256,70,143,star-struck war of tribes official game launch via,2022-04-30 03:08:38+00:00,1,-0.4,0.7
81,81,81,81,aWebAnalysis,1600,5195,0,dogecoin doge current price $0 1271 1h 2 83% 24h 5 82% 7d 5 39% 30d 7 32% 60d 5 16% 90d 8 97% $doge,2017-08-30 19:26:58+00:00,0,0.0,51.95
82,82,82,82,tentionmisleads,309,355,0,_empire keep our dog money outta your fuckin portfolio,2021-09-03 03:03:25+00:00,0,0.0,3.55
83,83,83,83,creatorqiao,86,5,4142,money-mouth_face $400 coin battle part 2 more chances to win vs 200 winners check_box_with_check 1 follow and to increase your chances check_box_with_check 2 rt with + tag 3 friends check_box_with_check 3 fill in form backhand_index_pointing_down backhand_index_pointing_down,2021-11-22 07:54:27+00:00,0,0.65,0.05
84,84,84,84,dajenuswins,4964,238,143,star-struck war of tribes official game launch via,2021-07-22 13:35:55+00:00,0,-0.4,2.38
85,85,85,85,krunu22,310,27,0,best way to describe is elon is dogecoin and charlie/warren buffet are bitcoin,2014-11-27 16:28:26+00:00,0,1.0,0.27
86,86,86,86,tealeeohotmail,522,26,20,gone missing help wanted _inu $lsp party_popper party_popper giveaway time party_popper party_popper to enter please 1 ) comment 2 ) like 3 ) retweet _au,2010-05-26 16:31:19+00:00,0,-0.2,0.26
87,87,87,87,cal_ej,3019,2716,0,me too me too,2021-05-04 18:03:52+00:00,0,0.0,27.16
88,88,88,88,IAmDogeBot,1,1098,0,current price is $0 127196 full_moon,2021-09-11 16:21:11+00:00,0,0.0,10.98
89,89,89,89,dogedaddy04,40,89,27,miners digging for more,2021-05-12 00:01:27+00:00,0,0.5,0.89
90,90,90,90,Highdream328,14,24,122,fire top trending coins on today small_blue_diamond $gmt small_orange_diamond $ape small_blue_diamond $gst small_orange_diamond $moov small_blue_diamond $jasmy small_orange_diamond $doge small_blue_diamond small_orange_diamond $shib small_blue_diamond $pit wrapped_gift claim $100 sign up gift right_arrow_curving_down,2021-11-01 08:01:29+00:00,0,0.5,0.24
91,91,91,91,MarshallRob6,57,15,0,icymi elon musk has suggested that twitter blue should accept as a payment method,2022-03-19 15:31:52+00:00,1,0.0,0.15
92,92,92,92,seasord_x,234,31,24,i'm just convinced there are not any serious people left in crypto i like 's chances fire grinning_face_with_sweat,2021-04-25 22:06:10+00:00,0,-0.16666666666666666,0.31
93,93,93,93,DogeDre,186,1567,5,we talking thinking_face,2012-11-20 14:50:12+00:00,0,0.0,15.67
94,94,94,94,Dogewatch69,2014,1255,0,memes will get us through bad times,2012-01-05 15:17:10+00:00,0,-0.6999999999999998,12.55
95,95,95,95,tiacityx,872,134,908,looking for the for this weekend gem_stone fire,2021-08-03 05:46:45+00:00,0,0.0,1.34
96,96,96,96,ZakariasOwan,181,735,142,can or trend no1 worldwide ruling as no 1 trending worldwide no 2 trending world wide no 3 trending worldwide no 4 check for more trends,2014-12-12 07:05:01+00:00,0,0.2,7.35
97,97,97,97,thigpen_y,5003,3638,20,fate loves irony,2018-08-24 17:42:11+00:00,0,0.0,36.38
98,98,98,98,ZakariasOwan,181,735,141,elon musk will take to mars and probably or too fire,2014-12-12 07:05:01+00:00,0,0.0,7.35
99,99,99,99,0xxieyoung,3267,134,143,star-struck war of tribes official game launch via,2022-03-30 01:24:26+00:00,1,-0.4,1.34
100,100,100,100,MartinW10101,34,11,0,i realize i'm old fashioned but i just cannot bring myself to buy coins i cannot hold huge untapped market if you can solve that one coin money_bag coin,2022-04-10 01:00:22+00:00,1,0.2500000000000001,0.11
101,101,101,101,merkiurius,4577,582,143,star-struck war of tribes official game launch via,2021-02-20 06:42:57+00:00,0,-0.4,5.82
102,102,102,102,cscryptonews,0,124,0,dogecoin price risks 40% correction despite elon musk twitter euphoria follow to be up to date with the latest,2021-02-01 23:51:01+00:00,0,0.5,1.24
103,103,103,103,harahapbigwin,293,52,143,star-struck war of tribes official game launch via,2022-04-21 16:23:34+00:00,1,-0.4,0.52
104,104,104,104,MedicineManWalk,4489,4639,76,smiling_face_with_heart-eyes snickers dogecoin acceptance coming smiling_face_with_heart-eyes,2011-07-27 21:13:33+00:00,0,0.0,46.39
105,105,105,105,PulseDogeMemes,118,272,0,$eth eth v2 0 will pump $plsx buy & burn > inexpensive trading more txs $plsd meme/dogecoin > people love meme coins highest roi,2022-04-21 18:51:04+00:00,1,0.5,2.72
106,106,106,106,iamMELOQUAY,1586,259,35,do not care what anyone says i am bullish on dogecoin rocket,2020-11-12 13:46:11+00:00,0,0.0,2.59
107,107,107,107,naheedolucky,932,11,577,hello blockchain world waving_hand we are going to on in 2 days rocket visit our website for more information check_mark_button site,2022-04-29 15:26:46+00:00,1,0.5,0.11
108,108,108,108,DogeRanch,2676,5344,2,$doge,2021-04-20 01:39:28+00:00,0,0.0,53.44
109,109,109,109,jwowney,578,56,143,star-struck war of tribes official game launch via,2022-04-24 09:15:49+00:00,1,-0.4,0.56
110,110,110,110,OxPickWin,1269,14,143,star-struck war of tribes official game launch via,2022-04-24 04:14:18+00:00,1,-0.4,0.14
111,111,111,111,Jasmineteea_,727,232,143,star-struck war of tribes official game launch via,2019-01-02 06:48:43+00:00,0,-0.4,2.32
112,112,112,112,PropLenny,50,69,96,fire top coins by social activity rocket 1st_place_medal $doge 2nd_place_medal $shib 3rd_place_medal $puli _token $floki $marvin _inu $kiba $pit $eg,2021-10-15 08:00:19+00:00,0,0.26666666666666666,0.69
113,113,113,113,onyourm__aerk,5000,1775,143,star-struck war of tribes official game launch via,2018-03-23 08:22:47+00:00,0,-0.4,17.75
114,114,114,114,_dubusimp4winsx,3177,191,143,star-struck war of tribes official game launch via,2022-02-22 10:18:26+00:00,1,-0.4,1.91
115,115,115,115,hooniieeepark,2036,97,143,star-struck war of tribes official game launch via,2022-03-02 13:18:22+00:00,1,-0.4,0.97
116,116,116,116,adi05710228,1624,20,143,star-struck war of tribes official game launch via,2022-04-09 03:50:12+00:00,1,-0.4,0.2
117,117,117,117,Nurwinner,1990,59,143,star-struck war of tribes official game launch via,2021-08-27 03:12:07+00:00,0,-0.4,0.59
118,118,118,118,chooks97,1588,518,0,wiped out hard on my scooter on the way to work weary_face elon can i claim workers comp in dogecoin eyes face_with_tears_of_joy,2016-05-16 12:50:43+00:00,0,-0.2916666666666667,5.18
119,119,119,119,lazyhojnz,25,3,74,dogecoin is the answer ),2020-06-12 23:23:15+00:00,0,0.0,0.03
120,120,120,120,BwcDeals,19,34974,0,71% off funight kn95 face masks 50 pack 5 ply breathable filter disposable face mas,2019-09-30 23:18:35+00:00,0,0.0,349.74
121,121,121,121,Drawwxx29cityx,4425,162,143,star-struck war of tribes official game launch via,2019-02-27 22:07:58+00:00,0,-0.4,1.62
122,122,122,122,hi_majjj,3703,129,143,star-struck war of tribes official game launch via,2021-06-10 08:23:55+00:00,0,-0.4,1.29
123,123,123,123,Jock042702661,185,41,4,v countries 200 v 55+ currency pairs 150 v 120 financial institutions 30 00 v 300 transaction time sub sec 2sec v 4sec transparency both are 100% bi directional prefunding both 0%,2018-05-02 00:38:16+00:00,0,-0.05,0.41
124,124,124,124,dogedaddy04,40,89,24,i'm just convinced there are not any serious people left in crypto i like 's chances fire grinning_face_with_sweat,2021-05-12 00:01:27+00:00,0,-0.16666666666666666,0.89
125,125,125,125,Meisuperbigwinx,569,40,143,star-struck war of tribes official game launch via,2022-04-09 04:10:14+00:00,1,-0.4,0.4
126,126,126,126,abcedefjhi,3880,57,143,star-struck war of tribes official game launch via,2022-02-08 09:15:37+00:00,1,-0.4,0.57
127,127,127,127,thigpen_y,5003,3638,1,"_radio _dogecoin much wow pythadoge you got tipped ð69 for this post jordanj77 pls open app to confirm jordanj77 is # 1 in the (steam train) locomotive railway_car reply ""+tip <amount>"" to join the train",2018-08-24 17:42:11+00:00,0,0.05,36.38
128,128,128,128,Faruk58323491,2155,1308,0,big dogs will be jumping in this crazy low price,2021-04-27 04:58:45+00:00,0,-0.2,13.08
129,129,129,129,Champ56825398,370,31,76,smiling_face_with_heart-eyes snickers dogecoin acceptance coming smiling_face_with_heart-eyes,2020-12-03 23:12:41+00:00,0,0.0,0.31
130,130,130,130,Jjongwosengi_kk,1251,446,577,hello blockchain world waving_hand we are going to on in 2 days rocket visit our website for more information check_mark_button site,2021-09-27 02:57:39+00:00,0,0.5,4.46
131,131,131,131,Toddwade69420,1714,4059,159,is love speaker_high_volume speaker_high_volume,2021-02-10 16:33:21+00:00,0,0.5,40.59
132,132,132,132,yericmiess,924,142,143,star-struck war of tribes official game launch via,2022-03-03 02:21:31+00:00,1,-0.4,1.42
133,133,133,133,jackspa84167797,3930,2053,10,is bigger than you think you have no idea who is backing,2018-09-04 14:48:41+00:00,0,0.0,20.53
134,134,134,134,St3v3nst3in3r,870,222,1,i just refilled the wallet with come get some free before it hits $100 a coin and i hate myself for doing this ) love haha only teasing about hating myself i love giving out free magic internet pirate money proof,2021-10-26 23:22:26+00:00,0,0.2125,2.22
135,135,135,135,thigpen_y,5003,3638,31,i'm excited to see what you bring to the table in the future along with n hundred_points hundred_points fire fire,2018-08-24 17:42:11+00:00,0,0.1875,36.38
136,136,136,136,forqceseung,3095,105,143,star-struck war of tribes official game launch via,2021-11-03 04:54:02+00:00,0,-0.4,1.05
137,137,137,137,thelyckek,861,791,154,keep laughing at memes $100 in dogecoin on launch (coin swap or something cannot remember) is now worth multi millions you spend more per week on food so realistically there is no excuse to not participate,2012-04-25 12:29:18+00:00,0,0.275,7.91
138,138,138,138,jackspa84167797,3930,2053,51,dogecoin ( $doge ) to reach $2 00 faster than bitcoin reaching $100 00,2018-09-04 14:48:41+00:00,0,0.0,20.53
139,139,139,139,Emerson03016816,59,73,76,smiling_face_with_heart-eyes snickers dogecoin acceptance coming smiling_face_with_heart-eyes,2022-04-01 01:44:25+00:00,1,0.0,0.73
140,140,140,140,kurniawati_zuni,1813,50,143,star-struck war of tribes official game launch via,2022-03-31 09:27:24+00:00,1,-0.4,0.5
141,141,141,141,TheyCallMeXTC,157,59,0,make something good happen to rolling_on_the_floor_laughing,2015-01-03 19:21:17+00:00,0,0.7,0.59
142,142,142,142,Kiyabigwin,1955,52,143,star-struck war of tribes official game launch via,2022-02-25 03:34:36+00:00,1,-0.4,0.52
143,143,143,143,aabrsmwin_,3115,100,143,star-struck war of tribes official game launch via,2021-11-16 03:44:57+00:00,0,-0.4,1.0
144,144,144,144,pythadoge,8101,11371,0,_radio _dogecoin many thanks astonished_face astonished_face hugging_face red_heart hugging_face red_heart,2021-05-01 23:41:03+00:00,0,0.35,113.71
145,145,145,145,fz_zxx,2558,182,143,star-struck war of tribes official game launch via,2018-01-14 16:33:24+00:00,0,-0.4,1.82
146,146,146,146,ummaBigWin_,1792,95,143,star-struck war of tribes official game launch via,2022-04-10 21:54:01+00:00,1,-0.4,0.95
147,147,147,147,JUHAKNY3ON,2652,197,143,star-struck war of tribes official game launch via,2021-06-05 19:06:58+00:00,0,-0.4,1.97
148,148,148,148,Monicarodgers0,38,28,73,$100 looks legit rocket,2022-04-28 00:25:09+00:00,1,0.0,0.28
149,149,149,149,tentionmisleads,309,355,152,little reminder if you are loosing some faith in winking_face,2021-09-03 03:03:25+00:00,0,-0.1875,3.55
150,150,150,150,_reive,2169,54,143,star-struck war of tribes official game launch via,2022-03-14 12:03:11+00:00,1,-0.4,0.54
151,151,151,151,crygraph,279,437,0,doge down from ath 83% vet down from ath 83% so they play in the same category in terms of gains / losses both are extremely volatile,2021-10-27 08:56:58+00:00,0,-0.1090277777777778,4.37
152,152,152,152,JulietChurch17,18,6,1,yellow_circle thumbs_down trade 531894 at $0 155200 tropical_drink,2022-04-16 06:36:49+00:00,1,0.0,0.06
153,153,153,153,jiezzung,3065,1661,143,star-struck war of tribes official game launch via,2021-04-28 09:49:52+00:00,0,-0.4,16.61
154,154,154,154,ong1st1,2554,354,3375,money-mouth_face $400 coin battle vs 200 winners check_box_with_check 1 follow check_box_with_check 2 rt with + tag 3 friends check_box_with_check 3 fill in form backhand_index_pointing_down backhand_index_pointing_down,2021-02-17 02:32:24+00:00,0,0.0,3.54
155,155,155,155,NathanFrisby7,4594,1602,2,reading this book and clearly seen cryptic words within a phrase of thought (cyberviking) grinning_face upside-down_face slightly_smiling_face smiling_face_with_sunglasses,2021-04-20 10:16:15+00:00,0,0.10000000000000002,16.02
156,156,156,156,chocolala10__,4982,233,143,star-struck war of tribes official game launch via,2021-11-18 16:14:21+00:00,0,-0.4,2.33
157,157,157,157,acabigwinx_444,471,50,143,star-struck war of tribes official game launch via,2020-09-23 06:12:01+00:00,0,-0.4,0.5
158,158,158,158,cryptorules2,282,184,154,keep laughing at memes $100 in dogecoin on launch (coin swap or something cannot remember) is now worth multi millions you spend more per week on food so realistically there is no excuse to not participate,2018-07-25 14:13:59+00:00,0,0.275,1.84
159,159,159,159,miesotokuaah,4679,199,143,star-struck war of tribes official game launch via,2020-05-29 10:20:35+00:00,0,-0.4,1.99
160,160,160,160,Lolsacs,802,192,154,keep laughing at memes $100 in dogecoin on launch (coin swap or something cannot remember) is now worth multi millions you spend more per week on food so realistically there is no excuse to not participate,2021-08-01 20:09:33+00:00,0,0.275,1.92
161,161,161,161,BzFitnes,22,26,76,smiling_face_with_heart-eyes snickers dogecoin acceptance coming smiling_face_with_heart-eyes,2021-12-06 01:51:08+00:00,0,0.0,0.26
162,162,162,162,dominic96912151,59,84,29,would be cool if there was an option to buy maye musk's book with dogecoin ),2021-05-08 14:55:11+00:00,0,0.35,0.84
163,163,163,163,BurungTHR,2048,48,143,star-struck war of tribes official game launch via,2022-04-19 11:17:40+00:00,1,-0.4,0.48
164,164,164,164,vnjisung,824,400,143,star-struck war of tribes official game launch via,2021-06-04 13:22:38+00:00,0,-0.4,4.0
165,165,165,165,emzsoluckycityx,2097,41,143,star-struck war of tribes official game launch via,2022-03-06 00:05:05+00:00,1,-0.4,0.41
166,166,166,166,asgar_maxbird,196,112,2,happy mayday armys flexed_biceps $milo 100x rocket rocket $milo to the moon rocket rocket _binance,2010-09-02 18:11:47+00:00,0,0.8,1.12
